,node,type
242,http://www.wikidata.org/entity/Q7174975,human
243,http://www.wikidata.org/entity/Q7803284,human
244,http://www.wikidata.org/entity/Q7959035,human
245,http://www.wikidata.org/entity/Q30122337,human
246,http://www.wikidata.org/entity/Q4503830,human
247,http://www.wikidata.org/entity/Q3399667,human
248,http://www.wikidata.org/entity/Q3309343,human
249,http://www.wikidata.org/entity/Q13563071,human
250,http://www.wikidata.org/entity/Q4913177,human
251,http://www.wikidata.org/entity/Q3343310,human
252,http://www.wikidata.org/entity/Q3530268,human
253,http://www.wikidata.org/entity/Q16199041,human
254,http://www.wikidata.org/entity/Q16980123,human
255,http://www.wikidata.org/entity/Q16198415,human
256,http://www.wikidata.org/entity/Q3930018,human
257,http://www.wikidata.org/entity/Q3496409,human
258,http://www.wikidata.org/entity/Q12004862,human
259,http://www.wikidata.org/entity/Q11033517,human
260,http://www.wikidata.org/entity/Q10262872,human
261,http://www.wikidata.org/entity/Q4782324,human
262,http://www.wikidata.org/entity/Q62056871,human
263,http://www.wikidata.org/entity/Q63435018,human
264,http://www.wikidata.org/entity/Q58215658,human
265,http://www.wikidata.org/entity/Q58755373,human
266,http://www.wikidata.org/entity/Q56823498,human
267,http://www.wikidata.org/entity/Q64414840,human
268,http://www.wikidata.org/entity/Q56099818,human
269,http://www.wikidata.org/entity/Q3106079,human
270,http://www.wikidata.org/entity/Q3017120,human
271,http://www.wikidata.org/entity/Q2898045,human
272,http://www.wikidata.org/entity/Q5199112,human
273,http://www.wikidata.org/entity/Q18763607,human
274,http://www.wikidata.org/entity/Q19521883,human
275,http://www.wikidata.org/entity/Q61470736,human
276,http://www.wikidata.org/entity/Q61350200,human
277,http://www.wikidata.org/entity/Q4116370,human
278,http://www.wikidata.org/entity/Q5213711,human
279,http://www.wikidata.org/entity/Q4994108,human
280,http://www.wikidata.org/entity/Q5791579,human
281,http://www.wikidata.org/entity/Q5793305,human
282,http://www.wikidata.org/entity/Q5578020,human
283,http://www.wikidata.org/entity/Q82339876,human
284,http://www.wikidata.org/entity/Q80846210,human
285,http://www.wikidata.org/entity/Q60605647,human
286,http://www.wikidata.org/entity/Q64788620,human
287,http://www.wikidata.org/entity/Q26202725,human
288,http://www.wikidata.org/entity/Q24871399,human
289,http://www.wikidata.org/entity/Q23000844,human
290,http://www.wikidata.org/entity/Q6136243,human
291,http://www.wikidata.org/entity/Q5214161,human
292,http://www.wikidata.org/entity/Q86926495,human
293,http://www.wikidata.org/entity/Q94667384,human
294,http://www.wikidata.org/entity/Q5342890,human
295,http://www.wikidata.org/entity/Q5579479,human
296,http://www.wikidata.org/entity/Q6174834,human
297,http://www.wikidata.org/entity/Q5717668,human
298,http://www.wikidata.org/entity/Q6389389,human
299,http://www.wikidata.org/entity/Q5613389,human
300,http://www.wikidata.org/entity/Q7087443,human
301,http://www.wikidata.org/entity/Q7364224,human
302,http://www.wikidata.org/entity/Q6959303,human
303,http://www.wikidata.org/entity/Q22005614,human
304,http://www.wikidata.org/entity/Q5232897,human
305,http://www.wikidata.org/entity/Q6174521,human
306,http://www.wikidata.org/entity/Q6384092,human
307,http://www.wikidata.org/entity/Q109444746,human
308,http://www.wikidata.org/entity/Q109444776,human
309,http://www.wikidata.org/entity/Q109630123,human
310,http://www.wikidata.org/entity/Q5880129,human
311,http://www.wikidata.org/entity/Q29667844,human
312,http://www.wikidata.org/entity/Q30727614,human
313,http://www.wikidata.org/entity/Q20065320,human
314,http://www.wikidata.org/entity/Q109659443,human
315,http://www.wikidata.org/entity/Q7185804,human
316,http://www.wikidata.org/entity/Q7177645,human
317,http://www.wikidata.org/entity/Q42716550,human
318,http://www.wikidata.org/entity/Q100940724,human
319,http://www.wikidata.org/entity/Q7613926,human
320,http://www.wikidata.org/entity/Q101407989,human
321,http://www.wikidata.org/entity/Q102076612,human
322,http://www.wikidata.org/entity/Q7976619,human
323,http://www.wikidata.org/entity/Q26709567,human
324,http://www.wikidata.org/entity/Q29017721,human
325,http://www.wikidata.org/entity/Q28086399,human
326,http://www.wikidata.org/entity/Q21872842,human
