,Unnamed: 0,Unnamed: 0.1,node,rdf_type,is_wikidata,itemLabel,data_type,degree,to_keep,to_keep2
76,2696,2696,http://www.wikidata.org/entity/Q640447,<class 'str'>,TRUE,Musée Carnavalet,2,5,0,0
77,2708,2708,http://www.wikidata.org/entity/Q191760,<class 'str'>,TRUE,theatre of the absurd,0,5,1,1
78,2712,2712,http://www.wikidata.org/entity/Q96972108,<class 'str'>,TRUE,Eugénie Cocteau,4,5,1,1
79,2731,2731,http://www.wikidata.org/entity/Q70495997,<class 'str'>,TRUE,seat 31 of the Académie française,0,5,1,0
80,2749,2749,http://www.wikidata.org/entity/Q23824412,<class 'str'>,TRUE,Category:Films with screenplays by Jean Cocteau,0,6,1,1
81,2764,2764,http://www.wikidata.org/entity/Q56737517,<class 'str'>,TRUE,Q56737517,0,2,0,0
82,2776,2776,http://www.wikidata.org/entity/Q265533,<class 'str'>,TRUE,Documenta III,0,5,0,0
83,2784,2784,http://www.wikidata.org/entity/Q37922,<class 'str'>,TRUE,Nobel Prize in Literature,0,5,1,1
84,2797,2797,http://www.wikidata.org/entity/Q878985,<class 'str'>,TRUE,modernism,0,5,1,0
85,2811,2811,http://www.wikidata.org/entity/Q160236,<class 'str'>,TRUE,Metropolitan Museum of Art,2,5,0,0
86,2817,2817,http://www.wikidata.org/entity/Q239303,<class 'str'>,TRUE,Art Institute of Chicago,2,5,0,0
87,2818,2818,http://www.wikidata.org/entity/Q17378135,<class 'str'>,TRUE,Great Soviet Encyclopedia (1969–1978),2,5,1,1
88,2833,2833,http://www.wikidata.org/entity/Q168359,<class 'str'>,TRUE,Jean Marais,4,5,1,1
89,2845,2845,http://www.wikidata.org/entity/Q28495285,<class 'str'>,TRUE,Light Cone,2,5,0,0
90,2856,2856,http://www.wikidata.org/entity/Q13218541,<class 'str'>,TRUE,Category:Jean Cocteau,0,6,0,0
91,2857,2857,http://www.wikidata.org/entity/Q463951,<class 'str'>,TRUE,Maisons-Laffitte,2,5,0,0
92,2887,2887,http://www.wikidata.org/entity/Q1028181,<class 'str'>,TRUE,painter,1,5,0,0
93,2927,2927,http://www.wikidata.org/entity/Q2901443,<class 'str'>,TRUE,Bibliothèque historique de la Ville de Paris,2,5,0,0
94,2935,2935,http://www.wikidata.org/entity/Q3579810,<class 'str'>,TRUE,Edouard Dermit,4,5,1,0
95,2937,2937,http://www.wikidata.org/entity/Q8454749,<class 'str'>,TRUE,Category:Films directed by Jean Cocteau,0,6,0,0
96,3010,3010,http://www.wikidata.org/entity/Q5322166,<class 'str'>,TRUE,designer,1,5,0,0
97,3054,3054,http://www.wikidata.org/entity/Q924335,<class 'str'>,TRUE,Stedelijk Museum Amsterdam,2,5,0,0
98,3093,3093,http://www.wikidata.org/entity/Q4801318,<class 'str'>,TRUE,Artists Rights Society,2,5,0,0
